transition_id,from_grade,to_grade,from_bw,to_bw,jump,mean_retention,start_time,peak_dev,offspec_min,stabilization,quality
0,G80,G120,80.26,120.0,39.739999999999995,0.7032857142857142,2026-06-01 19:55:00,8.375,7,51.0,off-spec
1,G120,G100,119.86,100.0,-19.86,0.6072,2026-06-02 09:48:00,6.49,3,45.0,off-spec
2,G100,G80,99.9,80.0,-19.900000000000006,0.7970833333333335,2026-06-03 07:15:00,4.018,6,42.0,off-spec
3,G80,G100,80.13,100.0,19.870000000000005,0.8042857142857143,2026-06-04 01:48:00,2.151,0,23.0,clean
4,G100,G120,100.05,120.0,19.950000000000003,0.7032941176470588,2026-06-04 09:29:00,2.938,2,44.0,off-spec
5,G120,G150,120.1,150.0,29.900000000000006,0.8983103448275864,2026-06-05 09:02:00,3.135,4,30.0,off-spec
6,G150,G120,149.87,120.0,-29.870000000000005,0.8659230769230769,2026-06-06 04:44:00,3.579,4,34.0,off-spec
7,G120,G100,119.93,100.0,-19.930000000000007,0.847655172413793,2026-06-07 00:52:00,3.797,1,31.0,off-spec
8,G100,G150,100.19,150.0,49.81,0.7878214285714288,2026-06-07 09:10:00,5.687,11,47.0,off-spec
9,G150,G100,149.36,100.0,-49.360000000000014,0.6133333333333333,2026-06-07 23:16:00,16.25,5,60.0,off-spec
10,G100,G80,99.94,80.0,-19.939999999999998,0.6305806451612904,2026-06-08 11:56:00,4.055,10,54.0,off-spec
11,G80,G150,80.89,150.0,69.11,0.6133333333333333,2026-06-09 10:36:00,9.5,5,50.0,off-spec
12,G150,G100,149.78,100.0,-49.78,0.6394615384615385,2026-06-10 04:11:00,13.74,11,71.0,off-spec
13,G100,G120,100.06,120.0,19.939999999999998,0.7391290322580645,2026-06-11 00:59:00,2.343,0,41.0,clean
14,G120,G100,119.75,100.0,-19.75,0.8216,2026-06-11 14:57:00,2.3,0,17.0,clean
15,G100,G80,99.92,80.0,-19.92,0.828,2026-06-12 01:02:00,3.034,3,29.0,off-spec
16,G80,G150,80.62,150.0,69.38,0.9517222222222222,2026-06-12 17:00:00,4.612,6,25.0,off-spec
17,G150,G120,149.88,120.0,-29.879999999999995,0.9806296296296296,2026-06-13 00:08:00,3.83,6,28.0,off-spec
18,G120,G80,119.49,80.0,-39.489999999999995,0.8065333333333334,2026-06-13 21:01:00,9.162,4,43.0,off-spec
19,G80,G100,80.07,100.0,19.930000000000007,0.990103448275862,2026-06-14 14:23:00,2.942,5,30.0,off-spec
20,G100,G150,100.15,150.0,49.849999999999994,0.836741935483871,2026-06-15 10:01:00,4.771,10,40.0,off-spec
21,G150,G80,149.54,80.0,-69.53999999999999,0.8583333333333331,2026-06-15 22:23:00,13.087,8,53.0,off-spec
22,G80,G120,80.12,120.0,39.879999999999995,0.7921935483870968,2026-06-16 21:51:00,4.485,9,49.0,off-spec
23,G120,G150,120.34,150.0,29.659999999999997,0.9108750000000001,2026-06-17 19:55:00,2.566,1,18.0,off-spec
24,G150,G120,149.7,120.0,-29.69999999999999,0.9084117647058825,2026-06-18 15:55:00,3.358,2,19.0,off-spec
25,G120,G100,119.93,100.0,-19.930000000000007,0.936,2026-06-19 01:25:00,2.998,3,30.0,off-spec
26,G100,G120,100.05,120.0,19.950000000000003,0.9903636363636364,2026-06-19 15:49:00,2.426,0,0.0,clean
27,G120,G100,119.84,100.0,-19.840000000000003,0.9871052631578947,2026-06-19 22:36:00,2.915,1,20.0,off-spec
28,G100,G150,100.64,150.0,49.36,0.9533999999999999,2026-06-20 07:22:00,3.662,2,17.0,off-spec
29,G150,G120,149.89,120.0,-29.889999999999986,0.7265714285714285,2026-06-21 01:39:00,3.638,7,39.0,off-spec
30,G120,G100,119.94,100.0,-19.939999999999998,0.7695000000000001,2026-06-21 21:03:00,3.133,3,40.0,off-spec
31,G100,G120,100.06,120.0,19.939999999999998,0.891032258064516,2026-06-22 20:27:00,3.123,5,38.0,off-spec
32,G120,G150,120.11,150.0,29.89,0.8476071428571429,2026-06-23 08:18:00,2.895,2,30.0,off-spec
33,G150,G80,149.21,80.0,-69.21000000000001,0.8670625,2026-06-23 20:58:00,9.271,6,39.0,off-spec
34,G80,G150,80.56,150.0,69.44,0.8472631578947368,2026-06-24 11:25:00,6.471,7,42.0,off-spec
35,G150,G100,149.81,100.0,-49.81,0.8626428571428573,2026-06-24 20:49:00,7.027,11,44.0,off-spec
36,G100,G150,100.17,150.0,49.83,0.8283103448275864,2026-06-25 05:09:00,5.123,10,39.0,off-spec
37,G150,G80,149.54,80.0,-69.53999999999999,0.7723809523809525,2026-06-25 19:42:00,10.452,9,49.0,off-spec
38,G80,G120,80.1,120.0,39.900000000000006,0.9844999999999999,2026-06-26 05:47:00,5.013,13,35.0,off-spec
39,G120,G150,120.18,150.0,29.819999999999993,0.7706363636363635,2026-06-26 23:50:00,3.733,3,40.0,off-spec
40,G150,G80,149.79,80.0,-69.78999999999999,0.7480645161290324,2026-06-27 13:42:00,12.891,15,67.0,off-spec
41,G80,G120,80.13,120.0,39.870000000000005,0.6207666666666667,2026-06-28 10:41:00,10.008,12,74.0,off-spec
